gameid,gamename,nratings,gamerank
13.0,Catan,85291.0,327.0
822.0,Carcassonne,85003.0,152.0
30549.0,Pandemic,83442.0,75.0
68448.0,7 Wonders,69094.0,45.0
36218.0,Dominion,68260.0,76.0
9209.0,Ticket to Ride,60532.0,142.0
31260.0,Agricola,57042.0,25.0
3076.0,Puerto Rico,56519.0,21.0
40692.0,Small World,53602.0,209.0
178900.0,Codenames,51169.0,60.0
2651.0,Power Grid,49995.0,36.0
70323.0,King of Tokyo,48583.0,261.0
14996.0,Ticket to Ride: Europe,47520.0,102.0
129622.0,Love Letter,47000.0,243.0
148228.0,Splendor,45209.0,131.0
478.0,Citadels,43766.0,355.0
39856.0,Dixit,41526.0,221.0
173346.0,7 Wonders Duel,40920.0,16.0
28143.0,Race for the Galaxy,40661.0,49.0
169786.0,Scythe,39899.0,8.0
167791.0,Terraforming Mars,39275.0,4.0
110327.0,Lords of Waterdeep,38676.0,54.0
34635.0,Stone Age,38294.0,86.0
84876.0,The Castles of Burgundy,36875.0,13.0
1927.0,Munchkin,36017.0,3742.0
65244.0,Forbidden Island,35387.0,639.0
12333.0,Twilight Struggle,34520.0,5.0
15987.0,Arkham Horror,34296.0,271.0
11.0,Bohnanza,33808.0,398.0
163412.0,Patchwork,33685.0,64.0
150376.0,Dead of Winter: A Crossroads Game,32892.0,78.0
120677.0,Terra Mystica,32698.0,11.0
98778.0,Hanabi,32105.0,315.0
50.0,Lost Cities,31962.0,310.0
41114.0,The Resistance,31833.0,207.0
161936.0,Pandemic Legacy: Season 1,31295.0,2.0
10547.0,Betrayal at House on the Hill,30486.0,460.0
37111.0,Battlestar Galactica: The Board Game,29867.0,66.0
131357.0,Coup,29276.0,437.0
147020.0,Star Realms,28496.0,91.0
230802.0,Azul,28437.0,38.0
54043.0,Jaipur,28116.0,116.0
70919.0,Takenoko,28048.0,238.0
463.0,Magic: The Gathering,27960.0,149.0
40834.0,Dominion: Intrigue,27120.0,62.0
121921.0,Robinson Crusoe: Adventures on the Cursed Island,26937.0,41.0
133473.0,Sushi Go!,26728.0,385.0
181.0,Risk,26243.0,16418.0
157354.0,Five Tribes,25802.0,57.0
170216.0,Blood Rage,25719.0,30.0
31481.0,Galaxy Trucker,25638.0,151.0
6249.0,Alhambra,25255.0,432.0
174430.0,Gloomhaven,25233.0,1.0
2655.0,Hive,25018.0,214.0
18602.0,Caylus,24693.0,50.0
126163.0,Tzolk'in: The Mayan Calendar,24554.0,37.0
124742.0,Android: Netrunner,24347.0,44.0
171.0,Chess,24339.0,431.0
103343.0,A Game of Thrones: The Board Game (Second Edition),24129.0,97.0
39463.0,Cosmic Encounter,24052.0,118.0
72125.0,Eclipse,24002.0,39.0
157969.0,Sheriff of Nottingham,23858.0,288.0
102794.0,Caverna: The Cave Farmers,23753.0,23.0
146021.0,Eldritch Horror,23734.0,58.0
1406.0,Monopoly,23596.0,17160.0
96848.0,Mage Knight Board Game,23589.0,24.0
15062.0,Shadows over Camelot,23532.0,351.0
181304.0,Mysterium,23454.0,191.0
3955.0,BANG!,23341.0,1135.0
42.0,Tigris & Euphrates,23149.0,72.0
35677.0,Le Havre,23126.0,40.0
320.0,Scrabble,23046.0,1628.0
10630.0,Memoir '44,22730.0,121.0
128882.0,The Resistance: Avalon,22628.0,99.0
132531.0,Roll for the Galaxy,21491.0,67.0
93.0,El Grande,21268.0,59.0
9220.0,Saboteur,21242.0,936.0
18.0,RoboRally,21233.0,372.0
143884.0,Machi Koro,21209.0,849.0
136063.0,Forbidden Desert,21057.0,302.0
103885.0,Star Wars: X-Wing Miniatures Game,20786.0,74.0
8217.0,San Juan,20763.0,249.0
122522.0,Smash Up,20609.0,706.0
124361.0,Concordia,20028.0,18.0
148949.0,Istanbul,20026.0,95.0
204583.0,Kingdomino,20012.0,198.0
16992.0,Tsuro,19985.0,847.0
2453.0,Blokus,19972.0,571.0
172.0,For Sale,19810.0,276.0
50381.0,Cards Against Humanity,19466.0,2966.0
100423.0,Elder Sign,19449.0,495.0
193738.0,Great Western Trail,19415.0,10.0
104162.0,Descent: Journeys in the Dark (Second Edition),19407.0,83.0
146508.0,T.I.M.E Stories,19064.0,70.0
123260.0,Suburbia,19010.0,106.0
158899.0,Colt Express,18989.0,335.0
155426.0,Castles of Mad King Ludwig,18878.0,94.0
153938.0,Camel Up,18787.0,416.0
77423.0,The Lord of the Rings: The Card Game,18180.0,111.0
100901.0,Flash Point: Fire Rescue,18079.0,283.0
183394.0,Viticulture Essential Edition,17782.0,19.0
116.0,Guillotine,17774.0,1068.0
194655.0,Santorini,17671.0,100.0
205637.0,Arkham Horror: The Card Game,17662.0,20.0
108745.0,Seasons,17606.0,176.0
8203.0,"Hey, That's My Fish!",17604.0,737.0
12942.0,No Thanks!,17603.0,413.0
154203.0,Imperial Settlers,17526.0,155.0
12.0,Ra,17502.0,147.0
104006.0,Village,17441.0,124.0
37046.0,Ghost Stories,17431.0,219.0
2653.0,Survive: Escape from Atlantis!,17332.0,254.0
201808.0,Clank!: A Deck-Building Adventure,17319.0,61.0
12493.0,Twilight Imperium (Third Edition),17233.0,56.0
27162.0,Kingsburg,17223.0,296.0
129437.0,Legendary: A Marvel Deck Building Game,17045.0,139.0
147949.0,One Night Ultimate Werewolf,17016.0,328.0
5.0,Acquire,16996.0,223.0
2223.0,UNO,16899.0,17063.0
25613.0,Through the Ages: A Story of Civilization,16891.0,35.0
107529.0,Kingdom Builder,16735.0,491.0
21790.0,Thurn and Taxis,16721.0,375.0
205059.0,Mansions of Madness: Second Edition,16719.0,27.0
187645.0,Star Wars: Rebellion,16708.0,6.0
164153.0,Star Wars: Imperial Assault,16658.0,34.0
74.0,Apples to Apples,16334.0,3755.0
123540.0,Tokaido,16159.0,474.0
54.0,Tikal,16156.0,222.0
164928.0,Orléans,15990.0,26.0
122515.0,Keyflower,15979.0,46.0
5782.0,Coloretto,15974.0,505.0
143741.0,BANG! The Dice Game,15935.0,503.0
182028.0,Through the Ages: A New Story of Civilization,15821.0,3.0
62219.0,Dominant Species,15749.0,51.0
176494.0,Isle of Skye: From Chieftain to King,15705.0,167.0
432.0,6 nimmt!,15518.0,613.0
171623.0,The Voyages of Marco Polo,15515.0,42.0
54998.0,Cyclades,15420.0,150.0
166384.0,Spyfall,15321.0,489.0
73439.0,Troyes,15160.0,69.0
28720.0,Brass: Lancashire,15098.0,22.0
37904.0,Formula D,15080.0,463.0
1294.0,Clue,15075.0,8101.0
24480.0,The Pillars of the Earth,15033.0,255.0
199561.0,Sagrada,14897.0,125.0
15512.0,Diamant,14717.0,652.0
161970.0,Alchemists,14710.0,88.0
62871.0,Zombie Dice,14429.0,1844.0
9674.0,Ingenious,14405.0,363.0
258.0,Fluxx,14347.0,7383.0
124708.0,Mice and Mystics,14342.0,250.0
118.0,Modern Art,14292.0,215.0
113924.0,Zombicide,14238.0,390.0
760.0,Battle Line,14118.0,197.0
555.0,The Princes of Florence,14057.0,138.0
113294.0,Escape: The Curse of the Temple,14030.0,462.0
28023.0,Jamaica,13915.0,443.0
172225.0,Exploding Kittens,13908.0,3589.0
192291.0,Sushi Go Party!,13804.0,160.0
2471.0,Zombies!!!,13647.0,5121.0
38453.0,Space Alert,13644.0,178.0
21763.0,Mr. Jack,13623.0,456.0
2511.0,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,13562.0,68.0
25669.0,Qwirkle,13503.0,708.0
3.0,Samurai,13502.0,188.0
92828.0,Dixit: Odyssey,13447.0,184.0
9217.0,Saint Petersburg,13446.0,260.0
102652.0,Sentinels of the Multiverse,13320.0,313.0
77130.0,Sid Meier's Civilization: The Board Game,13274.0,203.0
43570.0,Friday,13254.0,340.0
188.0,Go,13234.0,137.0
127023.0,Kemet,13228.0,80.0
43111.0,Chaos in the Old World,13227.0,103.0
48726.0,Alien Frontiers,13156.0,185.0
823.0,Lord of the Rings,13140.0,771.0
29368.0,Last Night on Earth: The Zombie Game,13052.0,609.0
34219.0,Biblios,13014.0,321.0
63888.0,Innovation,12988.0,304.0
27588.0,Zooloretto,12967.0,660.0
198773.0,Codenames: Pictures,12705.0,253.0
43443.0,Castle Panic,12701.0,882.0
209685.0,Century: Spice Road,12688.0,225.0
102680.0,Trajan,12608.0,73.0
91536.0,Quarriors!,12500.0,748.0
438.0,Scotland Yard,12395.0,1153.0
144733.0,Russian Railroads,12188.0,71.0
278.0,Catan Card Game,12138.0,827.0
147151.0,Concept,12104.0,638.0
19857.0,Glory to Rome,12102.0,163.0
1917.0,Stratego,12085.0,2400.0
215.0,Tichu,12057.0,133.0
45315.0,Dungeon Lords,12034.0,206.0
171131.0,Captain Sonar,12021.0,113.0
160499.0,King of New York,11996.0,504.0
12692.0,Gloom,11985.0,1558.0
21241.0,Neuroshima Hex! 3.0,11968.0,230.0
20100.0,Wits & Wagers,11949.0,562.0
83330.0,Mansions of Madness,11948.0,300.0
20551.0,Shogun,11937.0,148.0
59959.0,Letters from Whitechapel,11814.0,211.0
503.0,Through the Desert,11804.0,447.0
163967.0,Tiny Epic Galaxies,11721.0,241.0
127398.0,Legends of Andor,11646.0,333.0
27627.0,Talisman (Revised 4th Edition),11537.0,1315.0
25292.0,Merchants & Marauders,11531.0,217.0
188834.0,Secret Hitler,11460.0,181.0
131835.0,Boss Monster: The Dungeon Building Card Game,11385.0,1727.0
177736.0,A Feast for Odin,11296.0,28.0
25554.0,Notre Dame,11281.0,240.0
156129.0,Deception: Murder in Hong Kong,11264.0,165.0
162886.0,Spirit Island,11250.0,15.0
71721.0,Space Hulk: Death Angel – The Card Game,11234.0,567.0
133038.0,Pathfinder Adventure Card Game: Rise of the Runelords – Base Set,11227.0,332.0
