gameid,gamename,nratings,gamerank
13,Catan,85291,327
822,Carcassonne,85003,152
30549,Pandemic,83442,75
68448,7 Wonders,69094,45
36218,Dominion,68260,76
9209,Ticket to Ride,60532,142
31260,Agricola,57042,25
3076,Puerto Rico,56519,21
40692,Small World,53602,209
178900,Codenames,51169,60
2651,Power Grid,49995,36
70323,King of Tokyo,48583,261
14996,Ticket to Ride: Europe,47520,102
129622,Love Letter,47000,243
148228,Splendor,45209,131
478,Citadels,43766,355
39856,Dixit,41526,221
173346,7 Wonders Duel,40920,16
28143,Race for the Galaxy,40661,49
169786,Scythe,39899,8
167791,Terraforming Mars,39275,4
110327,Lords of Waterdeep,38676,54
34635,Stone Age,38294,86
84876,The Castles of Burgundy,36875,13
1927,Munchkin,36017,3742
65244,Forbidden Island,35387,639
12333,Twilight Struggle,34520,5
15987,Arkham Horror,34296,271
11,Bohnanza,33808,398
163412,Patchwork,33685,64
150376,Dead of Winter: A Crossroads Game,32892,78
120677,Terra Mystica,32698,11
98778,Hanabi,32105,315
50,Lost Cities,31962,310
41114,The Resistance,31833,207
161936,Pandemic Legacy: Season 1,31295,2
10547,Betrayal at House on the Hill,30486,460
37111,Battlestar Galactica: The Board Game,29867,66
131357,Coup,29276,437
147020,Star Realms,28496,91
230802,Azul,28437,38
54043,Jaipur,28116,116
70919,Takenoko,28048,238
463,Magic: The Gathering,27960,149
40834,Dominion: Intrigue,27120,62
121921,Robinson Crusoe: Adventures on the Cursed Island,26937,41
133473,Sushi Go!,26728,385
181,Risk,26243,16418
157354,Five Tribes,25802,57
170216,Blood Rage,25719,30
31481,Galaxy Trucker,25638,151
6249,Alhambra,25255,432
174430,Gloomhaven,25233,1
2655,Hive,25018,214
18602,Caylus,24693,50
126163,Tzolk'in: The Mayan Calendar,24554,37
124742,Android: Netrunner,24347,44
171,Chess,24339,431
103343,A Game of Thrones: The Board Game (Second Edition),24129,97
39463,Cosmic Encounter,24052,118
72125,Eclipse,24002,39
157969,Sheriff of Nottingham,23858,288
102794,Caverna: The Cave Farmers,23753,23
146021,Eldritch Horror,23734,58
1406,Monopoly,23596,17160
96848,Mage Knight Board Game,23589,24
15062,Shadows over Camelot,23532,351
181304,Mysterium,23454,191
3955,BANG!,23341,1135
42,Tigris & Euphrates,23149,72
35677,Le Havre,23126,40
320,Scrabble,23046,1628
10630,Memoir '44,22730,121
128882,The Resistance: Avalon,22628,99
132531,Roll for the Galaxy,21491,67
93,El Grande,21268,59
9220,Saboteur,21242,936
18,RoboRally,21233,372
143884,Machi Koro,21209,849
136063,Forbidden Desert,21057,302
103885,Star Wars: X-Wing Miniatures Game,20786,74
8217,San Juan,20763,249
122522,Smash Up,20609,706
124361,Concordia,20028,18
148949,Istanbul,20026,95
204583,Kingdomino,20012,198
16992,Tsuro,19985,847
2453,Blokus,19972,571
172,For Sale,19810,276
50381,Cards Against Humanity,19466,2966
100423,Elder Sign,19449,495
193738,Great Western Trail,19415,10
104162,Descent: Journeys in the Dark (Second Edition),19407,83
146508,T.I.M.E Stories,19064,70
123260,Suburbia,19010,106
158899,Colt Express,18989,335
155426,Castles of Mad King Ludwig,18878,94
153938,Camel Up,18787,416
77423,The Lord of the Rings: The Card Game,18180,111
100901,Flash Point: Fire Rescue,18079,283
,,,
183394,Viticulture Essential Edition,17782,19
116,Guillotine,17774,1068
194655,Santorini,17671,100
205637,Arkham Horror: The Card Game,17662,20
108745,Seasons,17606,176
8203,"Hey, That's My Fish!",17604,737
12942,No Thanks!,17603,413
154203,Imperial Settlers,17526,155
12,Ra,17502,147
104006,Village,17441,124
37046,Ghost Stories,17431,219
2653,Survive: Escape from Atlantis!,17332,254
201808,Clank!: A Deck-Building Adventure,17319,61
12493,Twilight Imperium (Third Edition),17233,56
27162,Kingsburg,17223,296
129437,Legendary: A Marvel Deck Building Game,17045,139
147949,One Night Ultimate Werewolf,17016,328
5,Acquire,16996,223
2223,UNO,16899,17063
25613,Through the Ages: A Story of Civilization,16891,35
107529,Kingdom Builder,16735,491
21790,Thurn and Taxis,16721,375
205059,Mansions of Madness: Second Edition,16719,27
187645,Star Wars: Rebellion,16708,6
164153,Star Wars: Imperial Assault,16658,34
74,Apples to Apples,16334,3755
123540,Tokaido,16159,474
54,Tikal,16156,222
164928,Orléans,15990,26
