,movieId,title,genres,rating_count,rating_avg,year,genres_matrix,rating_group,similarity
0,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,2569.0,3.959322693655119,1995,[0 1 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0],6,-2.9999999999999973
1,2,Jumanji (1995),Adventure|Children|Fantasy,1155.0,3.2683982683982684,1995,[0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0],6,-0.27394987126639064
2,3,Grumpier Old Men (1995),Comedy|Romance,685.0,3.1868613138686133,1995,[0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0],5,0.25273877360611785
3,4,Waiting to Exhale (1995),Comedy|Drama|Romance,138.0,3.0,1995,[0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0],4,0.4583224585634652
4,5,Father of the Bride Part II (1995),Comedy,657.0,3.143835616438356,1995,[0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0],5,0.07261364366625739
5,6,Heat (1995),Action|Crime|Thriller,1260.0,3.8365079365079366,1995,[1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0],6,0.3634923918187309
6,7,Sabrina (1995),Comedy|Romance,700.0,3.3814285714285712,1995,[0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0],5,0.32696400822551314
7,8,Tom and Huck (1995),Adventure|Children,78.0,3.3525641025641026,1995,[0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],3,0.09705395925792927
8,9,Sudden Death (1995),Action,202.0,3.017326732673267,1995,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],4,0.6541169537535481
9,10,GoldenEye (1995),Action|Adventure|Thriller,1548.0,3.4270025839793283,1995,[1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0],6,0.147593474614315
10,11,"American President, The (1995)",Comedy|Drama|Romance,898.0,3.7121380846325165,1995,[0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0],5,0.26344958616250935
11,12,Dracula: Dead and Loving It (1995),Comedy|Horror,201.0,2.6616915422885574,1995,[0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0],4,0.4832106841265086
12,13,Balto (1995),Adventure|Animation|Children,78.0,3.2371794871794872,1995,[0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],3,0.006417972568606392
13,14,Nixon (1995),Drama,332.0,3.4126506024096384,1995,[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0],5,0.5627529097332811
14,15,Cutthroat Island (1995),Action|Adventure|Romance,159.0,2.710691823899371,1995,[1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],4,0.47238847334563483
15,16,Casino (1995),Crime|Drama,964.0,3.849066390041494,1995,[0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0],5,0.40247705147698304
16,17,Sense and Sensibility (1995),Drama|Romance,1110.0,3.95,1995,[0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0],6,0.42473558495973435
17,18,Four Rooms (1995),Comedy,273.0,3.3223443223443225,1995,[0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0],4,0.16964912876243635
18,19,Ace Ventura: When Nature Calls (1995),Comedy,1097.0,2.587055606198724,1995,[0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0],6,0.2081667260061546
